industry_code,industry
6399,OTHER MOTOR VEHICLE SERVICES N.E.C.
6412,GENERAL STORES
6413,OTHER GENERAL MERCHANDISE STORES
6521,FLORIST SHOPS
6531,HARDWARE STORES
6532,"PAINT, GLASS AND WALLPAPER STORES"
6541,SPORTING GOODS STORES
6561,JEWELLERY STORES
6562,WATCH AND JEWELLERY REPAIR SHOPS
6581,TOY AND HOBBY STORES
6582,"GIFT, NOVELTY AND SOUVENIR STORES"
6591,SECOND-HAND MERCHANDISE STORES N.E.C.
6592,OPTICIANS' SHOPS
6593,ART GALLERIES AND ARTISTS' SUPPLY STORES
6596,PET STORES
6599,OTHER RETAIL STORES N.E.C.
6921,DIRECT SELLERS
7211,INVESTMENT (MUTUAL) FUNDS
7214,INVESTMENT COMPANIES
7215,HOLDING COMPANIES
7292,"ESTATE, TRUST AND AGENCY FUNDS"
7299,OTHER INVESTMENT INTERMEDIARIES N.E.C.
7421,MORTGAGE BROKERS
7511,OPERATORS OF RESIDENTIAL BUILDINGS AND DWELLINGS
7512,OPERATORS OF NON-RESIDENTIAL BUILDINGS
7599,OTHER REAL ESTATE OPERATORS
7611,INSURANCE AND REAL ESTATE AGENCIES
7711,EMPLOYMENT AGENCIES
7712,PERSONNEL SUPPLIERS
7721,COMPUTER SERVICES
7722,COMPUTER EQUIPMENT MAINTENANCE AND REPAIR
7731,OFFICES OF CHARTERED AND CERTIFIED ACCOUNTANTS
7739,OTHER ACCOUNTING AND BOOKKEEPING SERVICES
7741,ADVERTISING AGENCIES
7742,MEDIA REPRESENTATIVES
7749,OTHER ADVERTISING SERVICES
7751,OFFICES OF ARCHITECTS
7752,OFFICES OF ENGINEERS
7759,OTHER SCIENTIFIC AND TECHNICAL SERVICES
7761,OFFICES OF LAWYERS AND NOTARIES
7771,MANAGEMENT CONSULTING SERVICES
7791,SECURITY AND INVESTIGATION SERVICES
7799,OTHER BUSINESS SERVICES N.E.C.
8132,IMMIGRATION SERVICES
8351,EXECUTIVE AND LEGISLATIVE ADMINISTRATION
8511,ELEMENTARY AND SECONDARY EDUCATION
8521,POST-SECONDARY NON-UNIVERSITY EDUCATION
8599,OTHER EDUCATIONAL SERVICES
8611,GENERAL HOSPITALS
8621,HOMES FOR PERSONAL AND NURSING CARE
8635,PUBLIC HEALTH CLINICS COMMUNITY HEALTH CENTRES
8639,OTHER NON-INSTITUTIONAL HEALTH SERVICES
8641,CHILD DAY-CARE AND NURSERY SCHOOL SERVICES
8649,OTHER NON-INSTITUTIONAL SOCIAL SERVICES
8651,"OFFICES OF PHYSICIANS, GENERAL PRACTICE"
8652,"OFFICES OF PHYSICIANS AND SURGEONS, SPECIALISTS"
8653,"OFFICES OF DENTISTS, GENERAL PRACTICE"
8654,"OFFICES OF DENTISTS, SPECIALISTS"
8661,OFFICES OF CHIROPRACTORS AND OSTEOPATHS
8665,OFFICES OF PHYSIOTHERAPISTS-OCCUPATIONAL THERAPISTS
8666,OFFICES OF OPTOMETRISTS
8667,OFFICES OF PODIATRISTS AND CHIROPODISTS
8668,OFFICES OF DENTURISTS
8669,OFFICES OF OTHER HEALTH PRACTITIONERS
8671,OFFICES OF PSYCHOLOGISTS
8699,OTHER HEALTH AND SOCIAL SERVICE ASSOCIATIONS AND AGENCIES
9112,MOTELS
9113,TOURIST COURTS AND CABINS
9114,GUEST HOUSES AND TOURIST HOMES
9121,LODGING HOUSES AND RESIDENTIAL CLUBS
9141,OUTFITTERS (HUNTING AND FISHING CAMPS)
9211,"RESTAURANTS, LICENSED"
9212,"RESTAURANTS, UNLICENSED (INCLUDING DRIVE-INS)"
9213,TAKE-OUT FOOD SERVICES
9214,CATERERS
9221,"TAVERNS, BARS AND NIGHT CLUBS"
9611,MOTION PICTURE AND VIDEO PRODUCTION
9614,SOUND RECORDING SERVICES
9619,"OTHER MOTION PICTURE, AUDIO AND VIDEO SERVICES"
9631,ENTERTAINMENT PRODUCTION COMPANIES AND ARTISTS
9639,OTHER THEATRICAL AND STAGED ENTERTAINMENT SERVICES
9641,PROFESSIONAL SPORTS CLUBS
9642,PROFESSIONAL ATHLETES AND PROMOTERS ON OWN ACCOUNT
9651,GOLF COURSES
9654,BOAT RENTALS AND MARINAS
9659,OTHER SPORTS AND RECREATION CLUBS
9693,"DANCE HALLS, STUDIOS AND SCHOOLS"
9699,OTHER AMUSEMENT AND RECREATIONAL SERVICES N.E.C.
9711,BARBER SHOPS
9712,BEAUTY SHOPS
9713,COMBINATION BARBER AND BEAUTY SHOPS
9726,CARPET CLEANING
9731,FUNERAL HOMES
9741,PRIVATE HOUSEHOLDS
9799,OTHER PERSONAL AND HOUSEHOLD SERVICES N.E.C.
9811,RELIGIOUS ORGANIZATIONS
9821,BUSINESS ASSOCIATIONS
9831,PROFESSIONAL HEALTH AND SOCIAL SERVICE MEMBERSHIP ASSOCIATIONS
9839,OTHER PROFESSIONAL MENBERSHIP ASSOCIATIONS
9841,LABOUR ORGANIZATIONS
9851,POLITICAL ORGANIZATIONS
9861,CIVIC AND FRATERNAL ORGANIZATIONS
9911,INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING
9919,OTHER MACHINERY AND EQUIPMENT RENTAL AND LEASING
9921,AUTOMOBILE AND TRUCK RENTAL AND LEASING SERVICES
9931,PHOTOGRAPHERS
9942,WELDING
9949,OTHER REPAIR SERVICES N.E.C.
9951,DISINFECTING AND EXTERMINATING SERVICES
9952,WINDOW CLEANING SERVICES
9953,JANITORIAL SERVICES
9959,OTHER SERVICES TO BUILDINGS AND DWELLINGS
9961,TICKET AND TRAVEL AGENCIES
9999,OTHER SERVICES N.E.C.
